tol:0.00221+-0.00532i 0.002+-0.00484i 
er:-0.000524+0.000524i -0.00305+0.00305i 
tol:0.00221+-0.00534i 0.002+-0.00484i 
er:-0.000533+0.000533i -0.00305+0.00305i 
tol:0.00222+-0.00535i 0.002+-0.00484i 
er:-0.000541+0.000541i -0.00305+0.00305i 
tol:0.00222+-0.00537i 0.002+-0.00484i 
er:-0.000549+0.000549i -0.00305+0.00305i 
tol:0.00223+-0.00538i 0.002+-0.00484i 
er:-0.000557+0.000557i -0.00305+0.00305i 
tol:0.00224+-0.0054i 0.002+-0.00484i 
er:-0.000566+0.000566i -0.00305+0.00305i 
tol:0.00224+-0.00541i 0.002+-0.00484i 
er:-0.000574+0.000574i -0.00305+0.00305i 
tol:0.00225+-0.00543i 0.002+-0.00484i 
er:-0.000582+0.000582i -0.00305+0.00305i 
tol:0.00226+-0.00544i 0.002+-0.00484i 
er:-0.00059+0.00059i -0.00305+0.00305i 
tol:0.00226+-0.00546i 0.00201+-0.00484i 
er:-0.000598+0.000598i -0.00305+0.00305i 
tol:0.00227+-0.00547i 0.00201+-0.00484i 
er:-0.000606+0.000606i -0.00305+0.00305i 
tol:0.00227+-0.00549i 0.00201+-0.00484i 
er:-0.000614+0.000614i -0.00305+0.00305i 
tol:0.00228+-0.0055i 0.00201+-0.00484i 
er:-0.000622+0.000622i -0.00305+0.00305i 
tol:0.00229+-0.00552i 0.00201+-0.00484i 
er:-0.00063+0.00063i -0.00305+0.00305i 
tol:0.00229+-0.00553i 0.00201+-0.00484i 
er:-0.000638+0.000638i -0.00305+0.00305i 
tol:0.0023+-0.00555i 0.00201+-0.00484i 
er:-0.000645+0.000645i -0.00305+0.00305i 
tol:0.0023+-0.00556i 0.00201+-0.00484i 
er:-0.000653+0.000653i -0.00305+0.00305i 
tol:0.00231+-0.00558i 0.00201+-0.00484i 
er:-0.000661+0.000661i -0.00305+0.00305i 
tol:0.00232+-0.00559i 0.00201+-0.00484i 
er:-0.000669+0.000669i -0.00305+0.00305i 
tol:0.00232+-0.0056i 0.00201+-0.00484i 
er:-0.000677+0.000677i -0.00305+0.00305i 
tol:0.00233+-0.00562i 0.00201+-0.00484i 
er:-0.000684+0.000684i -0.00305+0.00305i 
tol:0.00233+-0.00563i 0.00201+-0.00484i 
er:-0.000692+0.000692i -0.00305+0.00305i 
tol:0.00234+-0.00565i 0.00201+-0.00484i 
er:-0.0007+0.0007i -0.00305+0.00305i 
tol:0.00235+-0.00566i 0.00201+-0.00484i 
er:-0.000707+0.000707i -0.00305+0.00305i 
tol:0.00235+-0.00568i 0.00201+-0.00485i 
er:-0.000715+0.000715i -0.00305+0.00305i 
tol:0.00236+-0.00569i 0.00201+-0.00485i 
er:-0.000723+0.000723i -0.00305+0.00305i 
tol:0.00236+-0.0057i 0.00201+-0.00485i 
er:-0.00073+0.00073i -0.00305+0.00305i 
tol:0.00237+-0.00572i 0.00201+-0.00485i 
er:-0.000738+0.000738i -0.00305+0.00305i 
tol:0.00238+-0.00573i 0.00201+-0.00485i 
er:-0.000745+0.000745i -0.00305+0.00305i 
tol:0.00238+-0.00575i 0.00201+-0.00485i 
er:-0.000753+0.000753i -0.00305+0.00305i 
tol:0.00239+-0.00576i 0.00201+-0.00485i 
er:-0.00076+0.00076i -0.00305+0.00305i 
tol:0.00239+-0.00578i 0.00201+-0.00485i 
er:-0.000768+0.000768i -0.00305+0.00305i 
tol:0.0024+-0.00579i 0.00201+-0.00485i 
er:-0.000775+0.000775i -0.00305+0.00305i 
